period,msn,seriesDescription,value,unit
2011,AFGVBUS,U.S. Government Other Mobility Fuels Consumption in Trillion Btu,2.7,Trillion Btu
2011,ZWHDPUS,"Heating Degree-Days, United States in Number",4312,Number
2011,ZWHDPC9,"Heating Degree-Days, Pacific in Number",3823,Number
2011,ZWHDPC8,"Heating Degree-Days, Mountain in Number",5305,Number
2011,ZWHDPC7,"Heating Degree-Days, West South Central in Number",2113,Number
2011,ZWHDPC6,"Heating Degree-Days, East South Central in Number",3347,Number
2011,ZWHDPC5,"Heating Degree-Days, South Atlantic in Number",2564,Number
2011,ZWHDPC4,"Heating Degree-Days, West North Central in Number",6569,Number
2011,ZWHDPC3,"Heating Degree-Days, East North Central in Number",6173,Number
2011,ZWHDPC2,"Heating Degree-Days, Middle Atlantic in Number",5471,Number
2011,ZWHDPC1,"Heating Degree-Days, New England in Number",6113,Number
2011,ZWCDPUS,"Cooling Degree-Days, United States in Number",1470,Number
2011,ZWCDPC9,"Cooling Degree-Days, Pacific in Number",734,Number
2011,ZWCDPC8,"Cooling Degree-Days, Mountain in Number",1461,Number
2011,ZWCDPC7,"Cooling Degree-Days, West South Central in Number",3112,Number
2011,ZWCDPC6,"Cooling Degree-Days, East South Central in Number",1725,Number
2011,ZWCDPC5,"Cooling Degree-Days, South Atlantic in Number",2260,Number
2011,ZWCDPC4,"Cooling Degree-Days, West North Central in Number",1073,Number
2011,ZWCDPC3,"Cooling Degree-Days, East North Central in Number",858,Number
2011,ZWCDPC2,"Cooling Degree-Days, Middle Atlantic in Number",840,Number
2011,ZWCDPC1,"Cooling Degree-Days, New England in Number",553,Number
2011,WYTCBUS,Wind Energy Consumption/Production in Trillion Btu,410.043,Trillion Btu
2011,WYL9SUS,"Wind Electric Power Sector Generating Units, Capacity Factor in Percent",32.1,Percent
2011,WYL9PUS,"Wind Electric Power Sector, Net Summer Capacity in Million Kilowatts",45.648,Million Kilowatts
2011,WYICBUS,Wind Energy Consumed by the Industrial Sector in Trillion Btu,.017,Trillion Btu
2011,WYI9SUS,"Wind Industrial Sector Generating Units, Capacity Factor in Percent",11.6,Percent
2011,WYI9PUS,"Wind Industrial Sector, Net Summer Capacity in Million Kilowatts",.004,Million Kilowatts
2011,WYGBPUS,"Wind, Net Summer Capacity in Million Kilowatts",45.676,Million Kilowatts
2011,WYFFBUS,"Wind Energy Consumption, Fossil Fuel Equivalent in Trillion Btu",1167.636,Trillion Btu
2011,WYETPUS,"Electricity Net Generation From Wind, All Sectors in Million Kilowatthours",120176.599,Million Kilowatthours
2011,WYEGPUS,"Electricity Net Generation From Wind, Electric Power Sector in Million Kilowatthours",120120.873,Million Kilowatthours
2011,WYEGBUS,Wind Energy Consumed by the Electric Power Sector in Trillion Btu,409.852,Trillion Btu
2011,WYCCBUS,Wind Energy Consumed by the Commercial Sector in Trillion Btu,.173,Trillion Btu
2011,WYCASUS,"Wind Generating Units, Capacity Factor in Percent",32.1,Percent
2011,WYC9SUS,"Wind Commercial Sector Generating Units, Capacity Factor in Percent",24.2,Percent
2011,WYC9PUS,"Wind Commercial Sector, Net Summer Capacity in Million Kilowatts",.024,Million Kilowatts
2011,WSTCEUS,Biomass Waste CO2 Emissions in Million Metric Tons of Carbon Dioxide,41.885,Million Metric Tons of Carbon Dioxide
2011,WSTCBUS,Waste Energy Consumption in Trillion Btu,461.793,Trillion Btu
2011,WSL9PUS,"Waste Electric Power Sector, Net Summer Capacity in Million Kilowatts",3.766,Million Kilowatts
2011,WSL1BUS,"Waste Consumption for Electricity Generation, Electric Power Sector in Trillion Btu",240.879,Trillion Btu
2011,WSICBUS,Waste Energy Consumed by the Industrial Sector in Trillion Btu,164.682,Trillion Btu
2011,WSI9PUS,"Waste Industrial Sector, Net Summer Capacity in Million Kilowatts",.172,Million Kilowatts
2011,WSI5PUS,"Electricity Net Generation From Waste, Industrial Sector in Million Kilowatthours",916.768,Million Kilowatthours
2011,WSI3BUS,"Waste Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector in Trillion Btu",43.324,Trillion Btu
2011,WSI1BUS,"Waste Consumption for Electricity Generation, Industrial Sector in Trillion Btu",6.59,Trillion Btu
2011,WSGBPUS,"Waste, Net Summer Capacity in Million Kilowatts",4.536,Million Kilowatts
2011,WSETPUS,"Electricity Net Generation From Waste, All Sectors in Million Kilowatthours",19221.763,Million Kilowatthours
2011,WSEPBUS,"Waste Consumption for Electricity Generation, All Sectors in Trillion Btu",278.551,Trillion Btu
2011,WSEIBUS,"Waste Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector in Trillion Btu",254.568,Trillion Btu
2011,WSEGPUS,"Electricity Net Generation From Waste, Electric Power Sector in Million Kilowatthours",15989.498,Million Kilowatthours
2011,WSECBUS,"Waste Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Trillion Btu",340.435,Trillion Btu
2011,WSCCBUS,Waste Energy Consumed by the Commercial Sector in Trillion Btu,42.543,Trillion Btu
2011,WSC9PUS,"Waste Commercial Sector, Net Summer Capacity in Million Kilowatts",.598,Million Kilowatts
2011,WSC5PUS,"Electricity Net Generation From Waste, Commercial Sector in Million Kilowatthours",2315.497,Million Kilowatthours
2011,WSC3BUS,"Waste Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector in Trillion Btu",42.543,Trillion Btu
2011,WSC1BUS,"Waste Consumption for Electricity Generation, Commercial Sector in Trillion Btu",31.081,Trillion Btu
2011,WDTCEUS,Wood CO2 Emissions in Million Metric Tons of Carbon Dioxide,207.6,Million Metric Tons of Carbon Dioxide
2011,WDTCBUS,Wood Energy Consumption in Trillion Btu,2213.22,Trillion Btu
2011,WDRCBUS,Wood Energy Consumed by the Residential Sector in Trillion Btu,524.264,Trillion Btu
2011,WDPRBUS,Wood Energy Production in Trillion Btu,2213.22,Trillion Btu
2011,WDL9PUS,"Wood Electric Power Sector, Net Summer Capacity in Million Kilowatts",2.028,Million Kilowatts
2011,WDL1BUS,"Wood Consumption for Electricity Generation, Electric Power Sector in Trillion Btu",165.582,Trillion Btu
2011,WDICBUS,Wood Energy Consumed by the Industrial Sector in Trillion Btu,1437.638,Trillion Btu
2011,WDI9PUS,"Wood Industrial Sector, Net Summer Capacity in Million Kilowatts",5.041,Million Kilowatts
2011,WDI5PUS,"Electricity Net Generation From Wood, Industrial Sector in Million Kilowatthours",26690.634,Million Kilowatthours
2011,WDI3BUS,"Wood Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector in Trillion Btu",1057.275,Trillion Btu
2011,WDI1BUS,"Wood Consumption for Electricity Generation, Industrial Sector in Trillion Btu",181.559,Trillion Btu
2011,WDGBPUS,"Wood, Net Summer Capacity in Million Kilowatts",7.077,Million Kilowatts
2011,WDETPUS,"Electricity Net Generation From Wood, All Sectors in Million Kilowatthours",37449.067,Million Kilowatthours
2011,WDEPBUS,"Wood Consumption for Electricity Generation, All Sectors in Trillion Btu",347.623,Trillion Btu
2011,WDEIBUS,"Wood Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector in Trillion Btu",182.159,Trillion Btu
2011,WDEGPUS,"Electricity Net Generation From Wood, Electric Power Sector in Million Kilowatthours",10732.62,Million Kilowatthours
2011,WDECBUS,"Wood Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Trillion Btu",1240.937,Trillion Btu
2011,WDCCBUS,Wood Energy Consumed by the Commercial Sector in Trillion Btu,69.159,Trillion Btu
2011,WDC9PUS,"Wood Commercial Sector, Net Summer Capacity in Million Kilowatts",.008,Million Kilowatts
2011,WCDOPUS,Waste Coal Supplied in Thousand Short Tons,13208.985,Thousand Short Tons
2011,WCDOKUS,Waste Coal Supplied Heat Content in Million Btu per Short Ton,11.604,Million Btu per Short Ton
2011,VTTWPUS,"Crude Oil, Natural Gas, and Dry Wells Drilled, Vertical Trajectory in Number",21470,Number
2011,URSTPUS,Total Inventories in Million Pounds Uranium Oxide,112.1,Million Pounds Uranium Oxide
2011,URSEPUS,Electric Plants Inventories in Million Pounds Uranium Oxide,89.8,Million Pounds Uranium Oxide
